,team,name,position,price_trend,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
59,Osasuna,Unai García,DEF,downward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Osasuna,Jorge Herrando,DEF,upward,13.0,2.923076923076923,3.0676141234282404,-3.0,1.0,2.0,6.0,7.0,104.94469369622928,1.0
61,Osasuna,Iker Muñoz,MED,upward,15.0,1.6,1.2421180068162376,0.0,1.0,2.0,2.0,5.0,77.63237542601485,2.0
62,Osasuna,Sergio Herrera,POR,upward,28.0,5.678571428571429,3.781569059301251,-2.0,3.0,6.0,8.0,13.0,66.59366896882706,7.0
63,Osasuna,José Arnáiz,DEL,upward,11.0,2.1818181818181817,0.6030226891555273,2.0,2.0,2.0,2.0,4.0,27.638539919628336,2.0
64,Osasuna,Jon Moncayola,MED,upward,27.0,3.1481481481481484,2.4605143881170566,-1.0,2.0,3.0,4.5,10.0,78.15751585783592,2.0
65,Osasuna,Bryan Zaragoza,MED,upward,21.0,5.142857142857143,4.174754056057845,0.0,3.0,4.0,6.0,18.0,81.17577331223586,4.0
66,Osasuna,Ante Budimir,DEL,upward,29.0,6.103448275862069,4.988163329223972,0.0,2.0,4.0,9.0,17.0,81.72696980084473,4.0
67,Osasuna,Rubén García,MED,upward,28.0,5.392857142857143,3.593608376551508,1.0,3.0,4.0,7.25,13.0,66.6364467175114,3.0
68,Osasuna,Raúl García,DEL,upward,26.0,2.576923076923077,2.352412836609713,0.0,1.0,2.0,3.0,11.0,91.28766231619781,2.0
69,Osasuna,Moi Gómez,MED,upward,22.0,2.5,1.8451996923807203,-1.0,1.25,2.0,3.75,6.0,73.80798769522882,2.0
70,Sevilla,Örjan Nyland,POR,upward,22.0,5.545454545454546,4.008648658745746,-1.0,2.25,5.0,9.0,12.0,72.28710696098885,9.0
71,Sevilla,Loïc Badé,DEF,upward,24.0,5.208333333333333,3.5871651234907493,-2.0,3.0,6.0,7.5,11.0,68.8735703710224,4.0
72,Sevilla,Albert Sambi Lokonga,MED,upward,18.0,3.9444444444444446,3.5058308106927543,0.0,2.0,3.5,5.75,14.0,88.88021773587263,2.0
73,Sevilla,Djibril Sow,MED,upward,23.0,4.565217391304348,3.408893274903718,-1.0,2.0,5.0,6.0,14.0,74.67099554551001,6.0
74,Sevilla,Juanlu Sánchez,DEF,upward,24.0,3.9583333333333335,4.601315186908561,-1.0,2.0,2.0,5.0,22.0,116.24375209032154,2.0
75,Sevilla,Rubén Vargas,DEL,upward,10.0,5.5,3.0276503540974917,0.0,4.0,6.0,7.75,9.0,55.04818825631803,4.0
76,Sevilla,Chidera Ejuke,MED,upward,19.0,5.105263157894737,3.541731165563361,1.0,2.0,5.0,8.0,12.0,69.37411561412769,2.0
77,Sevilla,Nemanja Gudelj,DEF,upward,23.0,4.608695652173913,2.8402805628827106,0.0,2.0,6.0,6.0,10.0,61.62872919462485,6.0
78,Sevilla,Peque,DEL,upward,19.0,2.6842105263157894,2.2373752374638403,-2.0,1.0,2.0,4.0,7.0,83.35319512120189,1.0
79,Sevilla,Stanis Idumbo Muzambo,MED,upward,12.0,3.25,2.3011854652449344,1.0,2.0,2.0,4.0,7.0,70.80570662292106,2.0
80,Sevilla,Suso Fernández,MED,upward,9.0,2.7777777777777777,1.3017082793177759,1.0,2.0,2.0,4.0,5.0,46.86149805543993,2.0
81,Sevilla,Manu Bueno,MED,upward,6.0,3.5,4.679743582719036,1.0,1.25,2.0,2.0,13.0,133.70695950625816,2.0
82,Sevilla,José Ángel Carmona,DEF,upward,27.0,4.185185185185185,3.013266015434429,-1.0,3.0,4.0,6.5,11.0,71.99839151922973,3.0
83,Sevilla,Akor Adams,DEL,downward,3.0,1.0,1.0,0.0,0.5,1.0,1.5,2.0,100.0,0.0
84,Sevilla,Dodi Lukebakio,DEL,upward,29.0,7.448275862068965,4.005230570289589,2.0,4.0,7.0,9.0,17.0,53.77392895296208,4.0
85,Sevilla,Marcão,DEF,upward,11.0,1.4545454545454546,2.381748784554591,-1.0,0.0,1.0,2.0,8.0,163.74522893812812,0.0
86,Sevilla,Isaac Romero,DEL,upward,25.0,3.76,2.989983277545211,-1.0,2.0,3.0,5.0,9.0,79.52083184960668,2.0
87,Sevilla,Álvaro Fernández,POR,upward,8.0,3.75,4.713203338949606,-1.0,-0.25,2.5,7.75,10.0,125.6854223719895,-1.0
88,Sevilla,Lucien Agoume,MED,upward,26.0,3.0,2.0199009876724157,1.0,2.0,2.0,4.0,8.0,67.33003292241385,2.0
89,Sevilla,Adrià Pedrosa,DEF,upward,23.0,4.086956521739131,4.347549398310615,-2.0,0.0,4.0,7.0,14.0,106.37620868206822,0.0
90,Sevilla,Kike Salas,DEF,upward,23.0,4.086956521739131,4.284358904818367,-2.0,1.5,3.0,6.0,16.0,104.83005830938556,2.0
91,Sevilla,Tanguy Nianzou,DEF,downward,6.0,4.666666666666667,3.204163957519444,1.0,2.5,4.0,7.0,9.0,68.66065623255952,4.0
92,Sevilla,Saúl Ñíguez,MED,upward,17.0,5.235294117647059,4.828682684810448,-2.0,2.0,5.0,8.0,16.0,92.23326476604227,3.0
93,Valladolid,Amath Ndiaye,DEL,upward,9.0,2.5555555555555554,3.320809807528546,0.0,0.0,1.0,4.0,10.0,129.94473159894312,0.0
